gougeevent_id,M0_mean,Tw_mean,Mw_mean,hat_sn_patch,hat_sn_background,delsig_withmargin_try,slip_try,initialstress_fraction,delsigma_factor,fp_patch,hat_fr,hat_fp_background,hat_fr_background,dc_try,hat_ds_factor_rapidnuc_nuc,hat_ds_factor_rapidnuc_patch,tau_c_nuc,tau_r_nuc,tau_c_patch,tau_r_patch,tau_c_background,tau_r_background,tau_0_nuc,tau_0_patch,tau_0_background,GIIC_nuc,GIIC_patch,GIIC_background,Sratio_nuc,Sratio_patch,Ainit_nuc,Ainit_patch,Anuc_nuc,Anuc_patch,rnuc_nuc,rnuc_patch
4,5.94031154e-01,2.55790390e-06,-6.22079385e+00,6.00000000e+06,2.00000000e+06,3.82654469e+06,2.94859978e-07,9.25000000e-01,6.00000000e-01,7.38004832e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.84640813e-08,10000,10000,4.42802899e+06,1.80000000e+06,4.42802899e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.17784535e+06,4.09592682e+06,2.80000000e+05,6.36825053e-02,6.36825053e-02,0.00000000e+00,0,1.44648415e-01,3.82000000e+00,3.82764750e+00,1.92792182e-06,1.93178145e-06,7.83375117e-01,7.84158870e-01
9,4.71354187e-02,2.34655744e-06,-6.95443509e+00,6.00000000e+06,2.00000000e+06,3.03630180e+05,2.33966660e-08,9.25000000e-01,6.00000000e-01,3.57149209e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.05960225e-08,10000,10000,2.14289525e+06,1.80000000e+06,2.14289525e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.02182167e+06,1.98217811e+06,2.80000000e+05,1.81666291e-03,1.81666291e-03,0.00000000e+00,0,8.82197897e-01,3.82000000e+00,5.05049134e+00,5.41343037e-06,7.15719455e-06,1.31268747e+00,1.50937265e+00
18,7.57592494e-01,2.86450741e-06,-6.15037622e+00,6.00000000e+06,2.00000000e+06,4.88015068e+06,3.76047122e-07,9.25000000e-01,6.00000000e-01,8.51908181e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.60784303e-08,10000,10000,5.11144909e+06,1.80000000e+06,5.11144909e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.82265221e+06,4.72809041e+06,2.80000000e+05,9.28504335e-02,9.28504335e-02,0.00000000e+00,0,1.30924469e-01,3.82000000e+00,3.82577918e+00,1.62579314e-06,1.62825276e-06,7.19378919e-01,7.19922879e-01
19,5.60714658e-02,2.48460340e-06,-6.90417206e+00,6.00000000e+06,2.00000000e+06,3.61193127e+05,2.78322627e-08,9.25000000e-01,6.00000000e-01,3.63372230e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.17592493e-08,10000,10000,2.18023338e+06,1.80000000e+06,2.18023338e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.05705019e+06,2.01671588e+06,2.80000000e+05,2.23562955e-03,2.23562955e-03,0.00000000e+00,0,7.54524802e-01,3.82000000e+00,4.61305013e+00,5.42211179e-06,6.54776793e-06,1.31373962e+00,1.44368254e+00
20,8.67075478e-01,2.76654414e-06,-6.11129540e+00,6.00000000e+06,2.00000000e+06,5.58540246e+06,4.30391326e-07,9.25000000e-01,6.00000000e-01,9.28151617e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.08091025e-08,10000,10000,5.56890970e+06,1.80000000e+06,5.56890970e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.25426631e+06,5.15124148e+06,2.80000000e+05,1.14592008e-01,1.14592008e-01,0.00000000e+00,0,1.24630896e-01,3.82000000e+00,3.82503207e+00,1.47575912e-06,1.47770313e-06,6.85382168e-01,6.85833445e-01
21,2.16730863e-02,2.33644605e-06,-7.17938616e+00,6.00000000e+06,2.00000000e+06,1.39610579e+05,1.07578966e-08,9.25000000e-01,6.00000000e-01,3.39417360e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.64793719e-09,10000,10000,2.03650416e+06,1.80000000e+06,2.03650416e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.92144167e+06,1.88376635e+06,2.80000000e+05,7.86132398e-04,7.86132398e-04,0.00000000e+00,0,1.82337916e+00,3.82000000e+00,1.32846025e+01,4.47925721e-06,1.55772648e-05,1.19406526e+00,2.22674592e+00
24,6.58042012e-02,2.46166691e-06,-6.85783092e+00,6.00000000e+06,2.00000000e+06,4.23888066e+05,3.26633126e-08,9.80000000e-01,6.95000000e-01,3.56224865e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.29445401e-08,10000,10000,2.13734919e+06,1.80000000e+06,2.13734919e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.13649425e+06,2.09460221e+06,2.80000000e+05,2.18341505e-03,2.18341505e-03,0.00000000e+00,0,1.45100692e-01,3.82000000e+00,3.82771488e+00,8.34687018e-06,8.36372754e-06,1.62999733e+00,1.63164247e+00
27,7.63685367e-01,2.55290465e-06,-6.14805702e+00,6.00000000e+06,2.00000000e+06,4.91939887e+06,3.79071449e-07,9.25000000e-01,6.00000000e-01,8.56151229e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.63486003e-08,10000,10000,5.13690738e+06,1.80000000e+06,5.13690738e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.84667211e+06,4.75163932e+06,2.80000000e+05,9.40150300e-02,9.40150300e-02,0.00000000e+00,0,1.30526806e-01,3.82000000e+00,3.82572999e+00,1.61654469e-06,1.61896950e-06,7.17329879e-01,7.17867674e-01
31,9.74691446e-01,2.58397317e-06,-6.07742190e+00,6.00000000e+06,2.00000000e+06,6.27862757e+06,4.83808797e-07,9.25000000e-01,6.00000000e-01,1.00309487e+00,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.52311063e-08,10000,10000,6.01856923e+06,1.80000000e+06,6.01856923e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.67852007e+06,5.56717654e+06,2.80000000e+05,1.37590969e-01,1.37590969e-01,0.00000000e+00,0,1.19822548e-01,3.82000000e+00,3.82450538e+00,1.35546678e-06,1.35706544e-06,6.56854989e-01,6.57242229e-01
38,2.71880309e-01,2.25069227e-06,-6.44708150e+00,6.00000000e+06,2.00000000e+06,1.75135958e+06,1.34953565e-07,9.25000000e-01,6.00000000e-01,5.13660495e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.03222277e-08,10000,10000,3.08196297e+06,1.80000000e+06,3.08196297e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.90783206e+06,2.85081575e+06,2.80000000e+05,1.94359865e-02,1.94359865e-02,0.00000000e+00,0,2.19969317e-01,3.82000000e+00,3.84483565e+00,3.17161891e-06,3.19223912e-06,1.00476746e+00,1.00802841e+00
40,2.03866652e-01,2.16068807e-06,-6.53043587e+00,6.00000000e+06,2.00000000e+06,1.31323896e+06,1.01193542e-07,9.25000000e-01,6.00000000e-01,4.66296104e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.55118625e-08,10000,10000,2.79777662e+06,1.80000000e+06,2.79777662e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.63970224e+06,2.58794338e+06,2.80000000e+05,1.27275700e-02,1.27275700e-02,0.00000000e+00,0,2.66304982e-01,3.82000000e+00,3.86249657e+00,3.70618791e-06,3.74741834e-06,1.08614744e+00,1.09217229e+00
43,1.86633400e-01,2.36259417e-06,-6.55600709e+00,6.00000000e+06,2.00000000e+06,1.20222827e+06,9.26394513e-08,9.25000000e-01,6.00000000e-01,4.54294948e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.41951362e-08,10000,10000,2.72576969e+06,1.80000000e+06,2.72576969e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.57176370e+06,2.52133696e+06,2.80000000e+05,1.11995619e-02,1.11995619e-02,0.00000000e+00,0,2.83408084e-01,3.82000000e+00,3.87061933e+00,3.87221963e-06,3.92353094e-06,1.11020980e+00,1.11754136e+00
44,6.95001543e-02,2.44810841e-06,-6.84200949e+00,6.00000000e+06,2.00000000e+06,4.47696127e+05,3.44978774e-08,9.25000000e-01,6.00000000e-01,3.72723906e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.33759893e-08,10000,10000,2.23634343e+06,1.80000000e+06,2.23634343e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.10999003e+06,2.06861768e+06,2.80000000e+05,2.91826255e-03,2.91826255e-03,0.00000000e+00,0,6.24403279e-01,3.82000000e+00,4.28590266e+00,5.32726976e-06,5.97700513e-06,1.30219915e+00,1.37932586e+00
50,3.27197124e-01,2.57681224e-06,-6.39346035e+00,6.00000000e+06,2.00000000e+06,2.10769151e+06,1.62411241e-07,9.25000000e-01,4.95000000e-01,5.12307621e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.38859868e-08,10000,10000,3.07384573e+06,1.80000000e+06,3.07384573e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.90017344e+06,2.84330730e+06,2.80000000e+05,2.15827597e-02,2.15827597e-02,0.00000000e+00,0,2.20968865e-01,3.82000000e+00,3.84515408e+00,4.01158834e-06,4.03800399e-06,1.13001249e+00,1.13372686e+00
52,4.82490139e-01,2.60096489e-06,-6.28100771e+00,6.00000000e+06,2.00000000e+06,3.10803578e+06,2.39494226e-07,9.25000000e-01,4.60000000e-01,5.81927290e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.27786935e-08,10000,10000,3.49156374e+06,1.80000000e+06,3.49156374e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.29429039e+06,3.22969646e+06,2.80000000e+05,3.61814433e-02,3.61814433e-02,0.00000000e+00,0,1.83162852e-01,3.82000000e+00,3.83484606e+00,3.62566815e-06,3.63975895e-06,1.07428396e+00,1.07636948e+00
61,7.40953619e-01,2.61373977e-06,-6.15680598e+00,6.00000000e+06,2.00000000e+06,4.77296876e+06,3.67788063e-07,9.25000000e-01,6.00000000e-01,8.40320947e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.53361660e-08,10000,10000,5.04192568e+06,1.80000000e+06,5.04192568e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.75705688e+06,4.66378125e+06,2.80000000e+05,8.96978688e-02,8.96978688e-02,0.00000000e+00,0,1.32043753e-01,3.82000000e+00,3.82591909e+00,1.65166427e-06,1.65422353e-06,7.25080041e-01,7.25641580e-01
62,5.91411187e-01,2.53935771e-06,-6.22207364e+00,6.00000000e+06,2.00000000e+06,3.80966777e+06,2.93559501e-07,9.25000000e-01,6.00000000e-01,7.36180299e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.83357178e-08,10000,10000,4.41708179e+06,1.80000000e+06,4.41708179e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.16751667e+06,4.08580066e+06,2.80000000e+05,6.32492635e-02,6.32492635e-02,0.00000000e+00,0,1.44930020e-01,3.82000000e+00,3.82768941e+00,1.93379977e-06,1.93769239e-06,7.84568407e-01,7.85357653e-01
69,2.58748883e-01,2.11161178e-06,-6.46141434e+00,6.00000000e+06,2.00000000e+06,1.66677145e+06,1.28435503e-07,9.25000000e-01,6.00000000e-01,5.04515832e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.94348306e-08,10000,10000,3.02709499e+06,1.80000000e+06,3.02709499e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.85606412e+06,2.80006287e+06,2.80000000e+05,1.80596666e-02,1.80596666e-02,0.00000000e+00,0,2.27017852e-01,3.82000000e+00,3.84713730e+00,3.26194376e-06,3.28511662e-06,1.01897446e+00,1.02258745e+00
72,8.10726230e-01,2.60537201e-06,-6.13075052e+00,6.00000000e+06,2.00000000e+06,5.22241996e+06,4.02421180e-07,9.25000000e-01,4.30000000e-01,7.28944249e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.84062046e-08,10000,10000,4.37366549e+06,1.80000000e+06,4.37366549e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.12655339e+06,4.04564058e+06,2.80000000e+05,7.51590167e-02,7.51590167e-02,0.00000000e+00,0,1.46071867e-01,3.82000000e+00,3.82786086e+00,2.91960114e-06,2.92560915e-06,9.64021736e-01,9.65013116e-01
77,7.78312237e-01,2.63118867e-06,-6.14256409e+00,6.00000000e+06,2.00000000e+06,5.01362015e+06,3.86331806e-07,9.25000000e-01,6.00000000e-01,8.66337313e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.69936888e-08,10000,10000,5.19802388e+06,1.80000000e+06,5.19802388e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.90433553e+06,4.80817209e+06,2.80000000e+05,9.68329576e-02,9.68329576e-02,0.00000000e+00,0,1.29597569e-01,3.82000000e+00,3.82561610e+00,1.59481545e-06,1.59716012e-06,7.12492472e-01,7.13016027e-01
85,4.84827366e-01,2.29243073e-06,-6.27960858e+00,6.00000000e+06,2.00000000e+06,3.12309139e+06,2.40654358e-07,9.25000000e-01,6.00000000e-01,6.61955826e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.29029076e-08,10000,10000,3.97173496e+06,1.80000000e+06,3.97173496e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.74733193e+06,3.67385484e+06,2.80000000e+05,4.65868722e-02,4.65868722e-02,0.00000000e+00,0,1.58966488e-01,3.82000000e+00,3.82997027e+00,2.21243012e-06,2.21820460e-06,8.39189119e-01,8.40283555e-01
88,1.25874272e+00,2.41356275e-06,-6.00337535e+00,6.00000000e+06,2.00000000e+06,8.10838833e+06,6.24803679e-07,9.25000000e-01,6.00000000e-01,1.20090685e+00,3.00000000e-01,4.00000000e-01,4.00000000e-01,7.60495475e-08,10000,10000,7.20544108e+06,1.80000000e+06,7.20544108e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,6.79833366e+06,6.66503300e+06,2.80000000e+05,2.05540674e-01,2.05540674e-01,0.00000000e+00,0,1.11080044e-01,3.82000000e+00,3.82364146e+00,1.12212373e-06,1.12319341e-06,5.97647953e-01,5.97932743e-01
89,4.92010050e-01,2.47531120e-06,-6.27535068e+00,6.00000000e+06,2.00000000e+06,3.16935978e+06,2.44219636e-07,9.25000000e-01,6.00000000e-01,6.66957814e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.32831476e-08,10000,10000,4.00174688e+06,1.80000000e+06,4.00174688e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.77564818e+06,3.70161587e+06,2.80000000e+05,4.76492676e-02,4.76492676e-02,0.00000000e+00,0,1.57829466e-01,3.82000000e+00,3.82977117e+00,2.19085000e-06,2.19645397e-06,8.35086351e-01,8.36153702e-01
95,9.12161948e-01,2.77549470e-06,-6.09661870e+00,6.00000000e+06,2.00000000e+06,5.87583402e+06,4.52770953e-07,9.25000000e-01,6.00000000e-01,9.59549624e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.26870195e-08,10000,10000,5.75729774e+06,1.80000000e+06,5.75729774e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.43201042e+06,5.32550041e+06,2.80000000e+05,1.24035600e-01,1.24035600e-01,0.00000000e+00,0,1.22478310e-01,3.82000000e+00,3.82479164e+00,1.42255001e-06,1.42433439e-06,6.72912870e-01,6.73334774e-01
99,8.26063319e-01,2.95010362e-06,-6.12532444e+00,6.00000000e+06,2.00000000e+06,5.32121622e+06,4.10034070e-07,9.25000000e-01,6.00000000e-01,8.99590942e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.90666655e-08,10000,10000,5.39754565e+06,1.80000000e+06,5.39754565e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.09258433e+06,4.99272973e+06,2.80000000e+05,1.06247513e-01,1.06247513e-01,0.00000000e+00,0,1.26793045e-01,3.82000000e+00,3.82528124e+00,1.52820647e-06,1.53031925e-06,6.97454820e-01,6.97936778e-01
100,6.97711098e-01,2.91289029e-06,-6.17421625e+00,6.00000000e+06,2.00000000e+06,4.49441529e+06,3.46323719e-07,9.25000000e-01,6.00000000e-01,8.10207058e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.33752386e-08,10000,10000,4.86124235e+06,1.80000000e+06,4.86124235e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.58658216e+06,4.49664917e+06,2.80000000e+05,8.16972705e-02,8.16972705e-02,0.00000000e+00,0,1.35202302e-01,3.82000000e+00,3.82632562e+00,1.72343134e-06,1.72628521e-06,7.40665400e-01,7.41278389e-01
109,6.97361809e-01,2.79434828e-06,-6.17436123e+00,6.00000000e+06,2.00000000e+06,4.49216529e+06,3.46150342e-07,9.25000000e-01,6.00000000e-01,8.09963815e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.33592046e-08,10000,10000,4.85978289e+06,1.80000000e+06,4.85978289e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.58520516e+06,4.49529917e+06,2.80000000e+05,8.16337906e-02,8.16337906e-02,0.00000000e+00,0,1.35229410e-01,3.82000000e+00,3.82632919e+00,1.72403955e-06,1.72689603e-06,7.40796080e-01,7.41409522e-01
118,7.64305947e-02,2.00140399e-06,-6.81448851e+00,6.00000000e+06,2.00000000e+06,4.92339644e+05,3.79379487e-08,9.25000000e-01,6.00000000e-01,3.77550232e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.41610284e-08,10000,10000,2.26530139e+06,1.80000000e+06,2.26530139e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.13731186e+06,2.09540379e+06,2.80000000e+05,3.29457311e-03,3.29457311e-03,0.00000000e+00,0,5.75136854e-01,3.82000000e+00,4.18982402e+00,5.25086244e-06,5.75921193e-06,1.29282691e+00,1.35396237e+00
120,7.78811199e-01,2.75694583e-06,-6.14237854e+00,6.00000000e+06,2.00000000e+06,5.01683429e+06,3.86579477e-07,9.25000000e-01,6.00000000e-01,8.66684788e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.70156085e-08,10000,10000,5.20010873e+06,1.80000000e+06,5.20010873e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.90630258e+06,4.81010057e+06,2.80000000e+05,9.69296341e-02,9.69296341e-02,0.00000000e+00,0,1.29566486e-01,3.82000000e+00,3.82561232e+00,1.59408572e-06,1.59642774e-06,7.12329449e-01,7.12852532e-01
126,1.70691265e-02,1.99119953e-06,-7.24852580e+00,6.00000000e+06,2.00000000e+06,1.09953451e+05,8.47262340e-09,9.25000000e-01,6.00000000e-01,3.36211184e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.76051391e-09,10000,10000,2.01726710e+06,1.80000000e+06,2.01726710e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.90329151e+06,1.86597207e+06,2.80000000e+05,6.25785085e-04,6.25785085e-04,0.00000000e+00,0,2.29331945e+00,3.82000000e+00,2.18478297e+01,3.98514624e-06,2.27923550e-05,1.12628213e+00,2.69351665e+00
128,1.29867478e-02,2.23411103e-06,-7.32766640e+00,6.00000000e+06,2.00000000e+06,8.36561695e+04,6.44624805e-09,9.25000000e-01,6.00000000e-01,3.33368235e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.88916501e-09,10000,10000,2.00020941e+06,1.80000000e+06,2.00020941e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.88719758e+06,1.85019370e+06,2.80000000e+05,4.89428414e-04,4.89428414e-04,0.00000000e+00,0,2.98873565e+00,3.82000000e+00,4.17652950e+01,3.38072764e-06,3.69625883e-05,1.03736157e+00,3.43009581e+00
129,1.13411936e+00,2.62559541e-06,-6.03356082e+00,6.00000000e+06,2.00000000e+06,7.30560744e+06,5.62944228e-07,9.25000000e-01,4.10000000e-01,8.64017847e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,7.14380694e-08,10000,10000,5.18410708e+06,1.80000000e+06,5.18410708e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.89120503e+06,4.79529905e+06,2.80000000e+05,1.20877038e-01,1.20877038e-01,0.00000000e+00,0,1.29806081e-01,3.82000000e+00,3.82564153e+00,2.52627706e-06,2.53000797e-06,8.96737957e-01,8.97399882e-01
131,7.19026457e-01,2.49451120e-06,-6.16550342e+00,6.00000000e+06,2.00000000e+06,4.63172151e+06,3.56904051e-07,9.25000000e-01,6.00000000e-01,8.25050974e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.43477256e-08,10000,10000,4.95030584e+06,1.80000000e+06,4.95030584e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.67061356e+06,4.57903291e+06,2.80000000e+05,8.56059787e-02,8.56059787e-02,0.00000000e+00,0,1.33597892e-01,3.82000000e+00,3.82611695e+00,1.68720193e-06,1.68990363e-06,7.32839036e-01,7.33425547e-01
